genre,movie_count,avg_rating
剧情,11662,6.827868290173213
喜剧,5079,6.606457964166174
爱情,3610,6.499113573407202
动作,3132,6.127586206896551
惊悚,2691,5.904645113340766
犯罪,2208,6.654981884057971
恐怖,2074,5.484185149469624
Unknown,1849,6.54007571660357
悬疑,1568,6.419451530612245
动画,1531,7.251338994121489
冒险,1151,6.649956559513467
科幻,1113,6.0854447439353105
奇幻,954,6.549895178197065
家庭,705,7.218581560283688
传记,567,7.2744268077601415
战争,550,6.982545454545455
历史,519,7.165895953757225
音乐,512,7.4935546875
同性,480,6.5997916666666665
歌舞,295,7.277288135593221
情色,213,5.589671361502347
古装,211,6.292417061611375
运动,201,7.008955223880597
武侠,163,6.4748466257668715
儿童,159,6.658490566037736
西部,107,6.997196261682244
黑色电影,96,7.153125
短片,64,7.7
[],54,5.55
灾难,43,6.0558139534883715
戏曲,27,7.814814814814815
纪录片,24,8.758333333333333
Adult,15,5.7266666666666675
真人秀,14,7.435714285714285
舞台艺术,13,8.569230769230769
脱口秀,10,8.440000000000001
鬼怪,5,6.640000000000001
惊栗,5,6.22
悬念,4,7.5
音樂 Music,1,5.7
